physician_registration_number,physician_name,hospital_id,blacklist_status,historical_claim_count,historical_fraud_flag_ratio
MC-1000,Dr. A. Kumar,HOSP-001,False,9,0.0
MC-1001,Dr. S. Reddy,HOSP-005,True,7,0.1429
MC-1002,Dr. P. Singh,HOSP-004,False,8,0.1429
MC-1003,Dr. H. Patel,HOSP-009,False,8,0.1429
MC-1004,Dr. M. Shah,HOSP-009,False,8,0.0
MC-1005,Dr. R. Gupta,HOSP-007,False,12,0.0
MC-1006,Dr. N. Verma,HOSP-010,False,7,0.0
MC-1007,Dr. K. Menon,HOSP-002,False,9,0.0
MC-1008,Dr. L. Rao,HOSP-001,False,4,0.0
MC-1009,Dr. B. Iyer,HOSP-002,False,9,0.1429
MC-1010,Dr. D. Chatterjee,HOSP-008,False,11,0.0
MC-1011,Dr. V. Nair,HOSP-002,False,6,0.0
MC-1012,Dr. T. Sharma,HOSP-008,False,11,0.0
MC-1013,Dr. J. Banerjee,HOSP-005,False,12,0.0
MC-1014,Dr. C. Joshi,HOSP-003,False,6,0.0
MC-1015,Dr. G. Pillai,HOSP-003,False,8,0.0
MC-1016,Dr. F. Das,HOSP-008,False,12,0.0
MC-1017,Dr. E. Mukherjee,HOSP-009,False,14,0.0
MC-1018,Dr. W. Srinivasan,HOSP-001,False,11,0.0
MC-1019,Dr. X. Kapoor,HOSP-009,False,9,0.125
MC-1020,Dr. Y. Malhotra,HOSP-009,False,8,0.0
MC-1021,Dr. Z. Hegde,HOSP-001,False,10,0.0
MC-1022,Dr. AA. Bhat,HOSP-008,False,12,0.1
MC-1023,Dr. BB. Kulkarni,HOSP-009,False,8,0.0
MC-1024,Dr. CC. Mishra,HOSP-006,False,9,0.0
MC-1025,Dr. DD. Saxena,HOSP-009,False,6,0.0
MC-1026,Dr. EE. Tiwari,HOSP-007,False,12,0.0
MC-1027,Dr. FF. Pandey,HOSP-010,True,5,0.25
MC-1028,Dr. GG. Agarwal,HOSP-006,False,11,0.1
MC-1029,Dr. HH. Choudhury,HOSP-006,False,9,0.0
MC-1030,Dr. II. Deshpande,HOSP-005,False,7,0.1429
MC-1031,Dr. JJ. Kamath,HOSP-007,False,8,0.0
MC-1032,Dr. KK. Seshadri,HOSP-009,False,9,0.1111
MC-1033,Dr. LL. Raghavan,HOSP-001,False,10,0.0
MC-1034,Dr. MM. Sundaram,HOSP-010,False,9,0.0
MC-1035,Dr. NN. Venkatesh,HOSP-001,False,8,0.0
MC-1036,Dr. OO. Subramanian,HOSP-008,False,9,0.0
MC-1037,Dr. PP. Raman,HOSP-008,False,11,0.0
MC-1038,Dr. QQ. Narayan,HOSP-002,False,12,0.0
MC-1039,Dr. RR. Bhatt,HOSP-005,False,9,0.1429
MC-1040,Dr. SS. Arora,HOSP-008,False,7,0.0
MC-1041,Dr. TT. Dhawan,HOSP-004,False,10,0.0
MC-1042,Dr. UU. Khatri,HOSP-005,False,8,0.0
MC-1043,Dr. VV. Bajaj,HOSP-006,False,6,0.0
MC-1044,Dr. WW. Ahuja,HOSP-003,False,8,0.0
MC-1045,Dr. XX. Mehra,HOSP-008,False,5,0.0
MC-1046,Dr. YY. Luthra,HOSP-002,False,9,0.0
MC-1047,Dr. ZZ. Sethi,HOSP-009,False,5,0.0
MC-1048,Dr. AB. Kohli,HOSP-004,False,12,0.0
MC-1049,Dr. BC. Tandon,HOSP-010,False,13,0.0
